variable,areaName,Borough,areaType,value
2010-03-01,Cobble Hill,Brooklyn,neighborhood,38
2010-03-01,College Point,Queens,neighborhood,11
2010-03-01,Columbia St Waterfront District,Brooklyn,neighborhood,14
2010-03-01,Concourse,Bronx,neighborhood,37
2010-03-01,Coney Island,Brooklyn,neighborhood,7
2010-03-01,Corona,Queens,neighborhood,8
2010-03-01,Country Club,Bronx,neighborhood,3
2010-03-01,Crotona Park East,Bronx,neighborhood,1
2010-03-01,Crown Heights,Brooklyn,neighborhood,189
2010-03-01,DUMBO,Brooklyn,neighborhood,65
2010-03-01,Ditmas Park,Brooklyn,neighborhood,82
2010-03-01,Douglaston,Queens,neighborhood,11
2010-03-01,Downtown Brooklyn,Brooklyn,neighborhood,183
2010-03-01,Dyker Heights,Brooklyn,neighborhood,10
2010-03-01,East Brooklyn,Brooklyn,submarket,432
2010-03-01,East Elmhurst,Queens,neighborhood,3
2010-03-01,East Flatbush,Brooklyn,neighborhood,50
2010-03-01,East Harlem,Manhattan,neighborhood,95
2010-03-01,East New York,Brooklyn,neighborhood,42
2010-03-01,East Tremont,Bronx,neighborhood,6
2010-03-01,East Village,Manhattan,neighborhood,154
2010-03-01,Eastchester,Bronx,neighborhood,0
2010-03-01,Edenwald,Bronx,neighborhood,1
2010-03-01,Elmhurst,Queens,neighborhood,4
2010-03-01,Financial District,Manhattan,neighborhood,443
2010-03-01,Flatbush,Brooklyn,neighborhood,62
2010-03-01,Flatiron,Manhattan,neighborhood,259
2010-03-01,Flatlands,Brooklyn,neighborhood,5
2010-03-01,Floral Park,Queens,neighborhood,0
2010-03-01,Flushing,Queens,neighborhood,89
2010-03-01,Fordham,Bronx,neighborhood,0
2010-03-01,Forest Hills,Queens,neighborhood,57
2010-03-01,Fort Greene,Brooklyn,neighborhood,158
2010-03-01,Fresh Meadows,Queens,neighborhood,2
2010-03-01,Gerritsen Beach,Brooklyn,neighborhood,0
2010-03-01,Glen Oaks,Queens,neighborhood,2
2010-03-01,Glendale,Queens,neighborhood,1
2010-03-01,Gowanus,Brooklyn,neighborhood,150
2010-03-01,Gramercy Park,Manhattan,neighborhood,197
2010-03-01,Gravesend,Brooklyn,neighborhood,41
2010-03-01,Greenpoint,Brooklyn,neighborhood,110
2010-03-01,Greenwich Village,Manhattan,neighborhood,352
2010-03-01,Greenwood,Brooklyn,neighborhood,59
2010-03-01,Hamilton Heights,Manhattan,neighborhood,128
2010-03-01,Highbridge,Bronx,neighborhood,3
2010-03-01,Hillcrest,Queens,neighborhood,3
2010-03-01,Hollis,Queens,neighborhood,0
2010-03-01,Howard Beach,Queens,neighborhood,8
2010-03-01,Hunts Point,Bronx,neighborhood,0
2010-03-01,Inwood,Manhattan,neighborhood,52
2010-03-01,Jackson Heights,Queens,neighborhood,61
2010-03-01,Jamaica,Queens,neighborhood,14
2010-03-01,Jamaica Estates,Queens,neighborhood,7
